index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.focus.de/immobilien/sanieren-ohne-beschluss-wohnungs-miteigentuemer-ueber-diese-energie-spar-massnahmen-koennen-sie-allein-entscheiden_id_137522350.html,https://www.focus.de/immobilien/sanieren-ohne-beschluss-wohnungs-miteigentuemer-ueber-diese-energie-spar-massnahmen-koennen-sie-allein-entscheiden_id_137522350.html,0,www.focus.de,Über diese Energie-Spar-Maßnahmen können Sie allein entscheiden - FOCUS online,"Gas oder Strom sparen und etwas gegen die Energiekrise machen? Viele Wohnungseigentümer denken darüber nach, selbst etwas zu optimieren. Doch in einer Wohnungseigentümergemeinschaft (WEG) gibt es strikte Vorgaben. ",https://p6.focus.de/img/fotos/id_137522504/gettyimages-1251664576.jpg?im=Crop%3D%280%2C287%2C3467%2C1733%29%3BResize%3D%281200%2C627%29&impolicy=perceptual&quality=medium&hash=9777fa7fe6c34ab8cfef95860ee062bdfe465ff445aaeb64eb92d82bcaf7702e,2022-09-02T15:29:48+02:00,https://web.archive.org/web/20220903070257/https://www.focus.de/immobilien/sanieren-ohne-beschluss-wohnungs-miteigentuemer-ueber-diese-energie-spar-massnahmen-koennen-sie-allein-entscheiden_id_137522350.html,,,de,'Gas'
https://www.welt.de/wirtschaft/article240868733/Energiekrise-Gaspreise-schiessen-um-bis-zu-35-Prozent-nach-oben.html,https://www.welt.de/wirtschaft/article240868733/Energiekrise-Gaspreise-schiessen-um-bis-zu-35-Prozent-nach-oben.html,0,www.welt.de,Energiekrise: Gaspreise schießen um bis zu 35 Prozent nach oben - WELT,"Der völlige Stopp russischer Gaslieferungen via Nord Stream 1 hat die Gas-Preise in Europa explodieren lassen. Der Iran wittert in dieser Lage offenbar eine Chance und bietet Hilfe an. Allerdings, heißt es aus Teheran, müssten dafür unter anderem sämtliche Sanktionen gegen das Land gestoppt werden.",https://web.archive.org/web/20220905081626im_/https://img.welt.de/img/bildergalerien/mobile240868725/0541355517-ci16x9-w1200/Gaskrise-Nord-Stream-1.jpg,2022-09-05T08:11:42Z,https://web.archive.org/web/20220905081626/https://www.welt.de/wirtschaft/article240868733/Energiekrise-Gaspreise-schiessen-um-bis-zu-35-Prozent-nach-oben.html,,,de,'Gas'
https://de.rt.com/wirtschaft/147998-nord-stream-1-gaspreise-schiessen/,https://de.rt.com/wirtschaft/147998-nord-stream-1-gaspreise-schiessen/,0,de.rt.com,Weiterhin kein Gas über Nord Stream 1 – Gaspreise schießen am Montag in die Höhe — RT DE,"Wegen eines technischen Defekts in der Kompressorstation Portowaja hat der russische Energiekonzern Gazprom angekündigt, dass der Gastransport über die Ostseepipeline Nord Stream 1 weiterhin vollständig eingestellt bleibt. Am Montag schoss der europäische Gaspreis nach oben.",https://web.archive.org/web/20220905103859im_/https://cdni.russiatoday.com/deutsch/images/2022.09/article/6315abd8b480cc041e1891e7.jpg,2022-09-05T10:38:59Z,https://web.archive.org/web/20220905103859/https://de.rt.com/wirtschaft/147998-nord-stream-1-gaspreise-schiessen/,,,de,'Gas'
https://www.spiegel.de/wirtschaft/frankreich-und-deutschland-verstaendigen-sich-auf-gegenseitige-hilfe-in-der-energiekrise-a-924b75f8-8289-4a90-910e-f6710aa35217,https://www.spiegel.de/wirtschaft/frankreich-und-deutschland-verstaendigen-sich-auf-gegenseitige-hilfe-in-der-energiekrise-a-924b75f8-8289-4a90-910e-f6710aa35217,0,www.spiegel.de,Frankreich und Deutschland verständigen sich auf gegenseitige Hilfe in der Energiekrise - DER SPIEGEL,"Kanzler Scholz hat sich mit Frankreichs Präsident Macron über die Energiekrise ausgetauscht. Für den kommenden Winter vereinbarten sie Maßnahmen, um in beiden Ländern die Versorgung mit Gas und Strom zu gewährleisten.",https://cdn.prod.www.spiegel.de/images/20381844-a3b5-41b9-8074-4b60fa30856f_w1280_r1.77_fpx35.33_fpy52.99.jpg,2022-09-05T18:56:04+02:00,https://web.archive.org/web/20220905165813/https://www.spiegel.de/wirtschaft/frankreich-und-deutschland-verstaendigen-sich-auf-gegenseitige-hilfe-in-der-energiekrise-a-924b75f8-8289-4a90-910e-f6710aa35217,,,de,'Winter'
https://www.wiwo.de/politik/deutschland/sparmassnahmen-katholische-kirche-will-nicht-mehr-heizen-1000-jahre-lang-kein-problem/28664946.html,https://www.wiwo.de/politik/deutschland/sparmassnahmen-katholische-kirche-will-nicht-mehr-heizen-1000-jahre-lang-kein-problem/28664946.html,0,www.wiwo.de,Katholische Kirche will nicht mehr heizen – „1000 Jahre lang kein Problem“,Wegen den steigenden Preisen hat die Katholische Kirche nun neue Sparmaßnahmen durchgesetzt. Gemeinden und Kirchen sollen diesen Winter kalt bleiben.,,2022-09-07T10:36:20Z,https://web.archive.org/web/20220907103620/https://www.wiwo.de/politik/deutschland/sparmassnahmen-katholische-kirche-will-nicht-mehr-heizen-1000-jahre-lang-kein-problem/28664946.html,,,de,'Winter'
https://www.faz.net/aktuell/feuilleton/medien/gazprom-setzt-gas-als-waffe-ein-europa-soll-erfrieren-18301627.html,https://www.faz.net/aktuell/feuilleton/medien/gazprom-setzt-gas-als-waffe-ein-europa-soll-erfrieren-18301627.html,0,www.faz.net,Gazprom setzt Gas als Waffe ein: Europa soll erfrieren,"Bei Youtube zeigt ein russischer Journalist, der Putins Propaganda unterstützt, wozu das Gas dient: als Waffe. Europa soll erfrieren. Ein Gastbeitrag.",https://media0.faz.net/ppmedia/aktuell/1880982252/1.8301626/facebook_teaser/das-wirkt-beschaulich-doch-es.jpg,2022-09-09T08:00:48Z,https://web.archive.org/web/20220909080048/https://www.faz.net/aktuell/feuilleton/medien/gazprom-setzt-gas-als-waffe-ein-europa-soll-erfrieren-18301627.html,,,de,'Gas'
https://www.sueddeutsche.de/politik/energiekrise-deutschland-liveblog-erdgas-1.5655566,https://www.sueddeutsche.de/politik/energiekrise-deutschland-liveblog-erdgas-1.5655566,0,www.sueddeutsche.de,Energiekrise: Lindner und Habeck streiten bei Gasumlage - Politik - SZ.de,Habeck hält die Umlage wegen der Uniper-Verstaatlichung für möglicherweise hinfällig. Doch Lindner sieht das anders. ,https://www.sueddeutsche.de/assets/png/sz-ecb090256670a577bd629a9718686332.png,2022-09-15T09:43:26Z,https://web.archive.org/web/20220915094326/https://www.sueddeutsche.de/politik/energiekrise-deutschland-liveblog-erdgas-1.5655566,,,de,'Gas'
https://www.focus.de/politik/deutschland/focus-online-leserumfrage-gaskosten-haben-sich-verzehnfacht-wie-soll-man-das-noch-bezahlen_id_146020667.html,https://www.focus.de/politik/deutschland/focus-online-leserumfrage-gaskosten-haben-sich-verzehnfacht-wie-soll-man-das-noch-bezahlen_id_146020667.html,0,www.focus.de,Gaskosten ruinieren Familie - verlieren sie jetzt ihr Haus? - FOCUS online,"Viele Verbraucher schauen voller Sorge auf den Winter. Die Gaspreise explodieren, Abschlagszahlungen haben sich teilweise verachtfacht. Wir wollten von unseren Usern wissen, wie sie mit der Situation umgehen - und was sie sich von der Politik wünschen.",https://p6.focus.de/img/fotos/id_146688573/fol.png?im=Crop%3D%280%2C13%2C977%2C488%29%3BResize%3D%281200%2C627%29&hash=d383ad1e0fd1e3aedf74d3a0ffcab947dab42b4c2b3215d33384d1ccbdca892d,2022-09-19T11:43:01+02:00,https://web.archive.org/web/20220914130847/https://www.focus.de/politik/deutschland/focus-online-leserumfrage-gaskosten-haben-sich-verzehnfacht-wie-soll-man-das-noch-bezahlen_id_146020667.html,,,de,'Gas'
https://www.tagesspiegel.de/wirtschaft/wir-bringen-berlin-durch-den-winter-gas-wird-noch-teurer-werden-8655706.html,https://www.tagesspiegel.de/wirtschaft/wir-bringen-berlin-durch-den-winter-gas-wird-noch-teurer-werden-8655706.html,0,www.tagesspiegel.de,"Gasag-Chef über die Energiekrise: „Es soll keiner frieren, egal, wie kalt es wird“","Gasag-Chef Georg Friedrichs spricht im Interview über unbezahlbare Gaspreise, steigende Kosten, erneuerbare Energien und die Zukunft mit Wasserstoff.",https://www.tagesspiegel.de/images/c6178jpg/alternates/BASE_16_9_W1400/c6178jpg.jpeg,2022-09-20T04:37:00.000Z,https://web.archive.org/web/20220918130910/https://www.tagesspiegel.de/wirtschaft/wir-bringen-berlin-durch-den-winter-gas-wird-noch-teurer-werden-8655706.html,,,de,'Gas'
https://www.morgenpost.de/vermischtes/article236479053/heizen-kosten-energiekrise-sparen-tricks.html,https://www.morgenpost.de/vermischtes/article236479053/heizen-kosten-energiekrise-sparen-tricks.html,0,www.morgenpost.de,Heizen ohne Heizung: Welche Möglichkeiten es gibt - Berliner Morgenpost ,"Um die Heizkosten im Winter niedrig zu halten, können diese Tricks helfen, damit die Wohnung oder das Haus  warm bleiben. ",https://img.morgenpost.de/img/incoming/crop236479099/9482602828-w820-cv16_9-q85/imago0168602721h.jpg,2022-09-20T17:47:40+02:00,https://web.archive.org/web/20220920173809/https://www.morgenpost.de/vermischtes/article236479053/heizen-kosten-energiekrise-sparen-tricks.html,,,de-DE,'Heizung'
